channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable,tuned_stable_rank
23,A1,9,0.11031052413899453,0.06148634741047364,0.5555555555555556,5,0.027302151140339608,0.34400419249123354,0.25465695809229444,0.4001794655866763,False,
24,A1,10,0.17620727618829116,0.22904356300890744,0.8,8,-0.26202590868035947,0.3751042946548135,0.2164322154100921,0.4851453708758845,False,
25,A1,9,-0.027022428693648976,0.019539923338753987,0.8888888888888888,8,-0.46188866801292583,0.569224913318978,0.8332655688210102,0.6163538551471754,False,
26,A1,10,0.7020549748408647,0.37347716268779946,0.9,9,0.6558106465647797,0.5249600495250892,1.0,0.3165646579671435,False,
27,A1,10,0.09609420909598847,0.06766290082396292,0.7,7,-0.1269669652847663,0.6940455440940816,0.5503588078113316,0.829836939550344,False,
28,A1,10,0.09670469233103604,0.15490011258768419,0.8,8,-0.5567317882343685,0.5340843272650503,0.9305103076814636,0.7675073262740709,False,
29,A1,10,0.1803073456733392,0.14137939858525447,0.7,7,0.365809166683454,0.7901495420985984,1.0,0.8066609011090969,False,
30,A1,9,0.004138362591634666,0.008493575172437741,0.6666666666666666,6,0.052844634270656665,0.39686166755063473,0.21802189210242853,0.3529498139789382,False,
31,A1,10,0.04842973025995538,0.14071731785284639,0.6,6,-0.16120120939745125,0.5733733422755862,0.25024096965371273,0.7014821451142079,False,
32,A1,10,-0.4446459616537828,0.034189831897769696,0.6,6,0.28516555634956375,0.5629716969985007,0.2529119614162529,0.9739647857562324,False,
33,A2,9,0.15718001515951677,0.14096608592853954,1.0,9,-0.4746037919996793,0.3026224061373843,0.41091883203729956,0.2774895261203233,False,
34,A2,9,-0.03597602880710312,0.0072674163632602574,0.6666666666666666,6,-0.13890741704567192,0.5756083329068128,0.39208638883536745,0.6186411227751716,False,
35,A2,10,0.03368635255985611,0.028183415960129913,0.6,6,-0.21787770708417892,0.3958759964724801,0.08636488087042785,0.1928196394868006,False,
36,A2,9,0.14686940140982152,0.12658452862432648,0.5555555555555556,5,-0.12309426319779421,0.3202270706725439,0.064317923948011,0.1241377104797993,False,
37,A2,10,0.022494969920861738,0.04368770745796858,0.9,9,-0.47209185709869156,0.4026911754493347,0.3738038428676702,0.5320865503968911,False,
38,A2,9,0.03927525573175704,0.03350146481113394,0.6666666666666666,6,-0.12318751330832677,0.5684305631968267,0.10431131843100137,0.8856991764561764,False,
39,A2,9,0.33138233862896815,0.3824323466473955,0.6666666666666666,6,-0.12102391960790865,0.3138519320056166,0.14081588704657896,0.23892031524222793,False,
40,A2,9,0.06752014462856837,0.015342567689796395,0.6666666666666666,6,-0.3097919184310494,0.6200708051381634,0.5748700652770896,0.7351203604184398,False,
41,A2,10,0.14718690168201604,0.11738505024544685,0.8,8,0.31839216409058807,0.6297537968970789,0.57808536005169,0.9141059561371532,False,
42,A2,9,-0.006867078971373765,0.025348900576028153,0.5555555555555556,5,-0.10351467539194394,0.513150970434702,0.2888519959589353,0.4454114613832422,False,
43,A2,9,0.046911014091442355,0.06340145885275641,0.6666666666666666,6,0.03203715725527919,0.5686155326402083,0.18080067086161541,0.7930623842940927,False,
44,A2,9,-0.013861902302836694,0.0068608898846697925,0.5555555555555556,5,0.006269332111750613,0.5091744921151539,0.24921717104469493,0.4982646208833805,False,
45,A2,9,0.030482230037586766,0.05579482169431238,0.7777777777777778,7,-0.06163050898838596,0.3704887811012878,0.38479136652702134,0.346272188093433,False,
46,A2,9,0.012034127072830947,0.040402651179540144,0.5555555555555556,5,-0.026657152311559754,0.7243882149851546,0.5674163791246513,0.8880926980689854,False,
47,A2,9,-0.000518359355155925,-0.0028365747880612284,0.7777777777777778,7,-0.40988017446619274,0.5385373667801915,0.3221375233080913,0.9470497032259187,False,
48,A2,9,0.011883432040963237,-0.002935949442620291,0.6666666666666666,6,-0.027227319344252585,0.604330484531628,0.44256759208339586,0.6169431569533244,False,
49,A2,9,-0.2287891340368179,0.04603744986334227,0.5555555555555556,5,-0.02378589915098682,0.7265693311616486,0.7576506284786491,0.8336120258325703,False,
50,A2,9,0.010633733665016413,0.011587691006852873,0.6666666666666666,6,-0.16147670210561563,0.4176885294430729,0.3004691160727181,0.4580447901079475,False,
51,A2,9,-0.0042194141451148675,-0.005837277815045247,0.7777777777777778,7,-0.37208815456064287,0.39246382976188504,0.26138288771007917,0.45486184151915604,False,
52,A2,9,0.1329100364116112,0.16844635091361548,0.8888888888888888,8,-0.4373997669695701,0.38530302441748165,0.3089780140326306,0.4542799480430894,False,
53,A2,10,0.040821458612183274,0.044261353685533675,0.8,8,-0.22716198518983516,0.5421487427059472,0.41986848510950336,0.5338596893818931,False,
54,A2,9,0.10120946342157307,0.04508707541802123,0.6666666666666666,6,-0.2601634009325406,0.43521739687144956,0.236268226258084,0.5090341086551319,False,
55,A2,10,0.3578420575543268,0.4012860261806714,0.6,6,-0.07711665785494777,0.33086552000280806,0.1033632177996918,0.1197850557547207,False,
56,A2,9,0.15007914172303813,0.12460551097890965,0.7777777777777778,7,-0.20761046914044032,0.2563636078200694,0.14507860280777332,0.2538102241835241,False,9
57,A2,10,0.11591361346516055,0.12156385399055633,0.6,6,0.1682967174313506,0.4949076793919747,0.45122525709894834,0.6510294643194522,False,
58,A2,9,-0.024799274642591435,0.011065661860906332,0.6666666666666666,6,0.21138100864223575,0.6513053649286729,0.5304622973619528,0.6653238989055452,False,
59,A2,10,0.0511737022633156,0.04328933604076645,0.5,5,-0.14134429819765507,0.4043113614637469,0.20790645581475392,0.3547206041095805,False,
60,A2,9,-0.00208094911495902,0.001919722240726179,0.5555555555555556,5,0.055278387673951525,0.11997865501023426,0.05665544240630009,0.11236494260131002,False,
61,A2,9,0.020821303164831738,0.020706789656563637,0.6666666666666666,6,-0.22451999952720478,0.5977257451276187,0.30801980211535285,0.6966797198173473,False,
62,A2,10,-0.02191063904022919,-0.01503725160048437,1.0,10,-0.49680227532052357,0.3706503336822502,0.4727839826807583,0.420750037239517,False,
63,A2,9,0.06965757632739608,0.04788251827782118,1.0,9,-0.612636239776307,0.38332333947016656,0.6713179364702496,0.4562513163150623,False,
64,A2,10,0.07111693199144567,0.06356482517779183,0.9,9,-0.3831976464618742,0.37963702630618806,0.28334770213139454,0.3788615306199211,False,
65,A3,10,0.06443033639181188,0.027287318166985822,0.5,5,-0.26994858339479844,0.42502890684469014,0.1637234700700977,0.4531599912280847,False,
66,A3,10,0.08476538854367809,0.1751617434397116,1.0,10,-0.5542398351332822,0.30703448994024063,0.49916878481926874,0.36289873859789135,False,
67,A3,10,-0.014147059627292822,0.0289377668422839,0.5,5,0.17495607310024947,0.5886452497675275,0.30313637381305447,0.7200756068409307,False,
68,A3,9,0.05637618411516637,0.060505910909899034,0.5555555555555556,5,-0.08746691385966537,0.5797923654133005,0.14162664018991777,0.8583733598100822,False,
69,A3,10,0.044344355743887405,0.03234980630711687,0.9,9,-0.21221670885939176,0.28412166104798725,0.16668309492316297,0.2547347779624357,False,7
70,A3,9,-0.054425120100737856,-0.0027059004492967194,0.5555555555555556,5,-0.2794622828273274,0.5314296965748438,0.21431466990135098,0.7114327400241949,False,
71,A3,10,0.12801194796933796,0.015084642904527495,0.6,6,0.1516909046915215,0.5226760692200952,0.3104588999091903,0.550465484218766,False,
72,A3,9,0.03739473374554495,0.013020855252645212,0.5555555555555556,5,-0.05860974383508445,0.6065121793035587,0.46646762108158385,0.7239272268483307,False,
73,A3,10,-0.015044559891338058,0.011274137889508797,0.5,5,-0.005516135429259382,0.38582747590407246,0.2396779797850797,0.3181144345609769,False,
74,A3,9,-0.01209343110651193,-0.019260100709330447,0.5555555555555556,5,-0.011414813245142319,0.4898769107177178,0.15803585065873849,0.3268742140934465,False,
75,A3,9,-0.047114071772156124,-0.030821420680210508,0.6666666666666666,6,-0.07725420318397008,0.5600974743538321,0.46036131806432,0.5838028342487953,False,
76,A3,9,-0.037686974911597934,-0.01802701755407467,0.5555555555555556,5,0.2570458167870877,0.5402151434627361,0.20536153487933814,0.6938057720795228,False,
77,A3,10,0.05624978182986527,0.0933180620682341,0.9,9,0.3809483486739839,0.3302606347868639,0.2805288320414659,0.276217061585029,False,
78,A3,9,0.041417646127282895,0.03232626738240056,0.5555555555555556,5,0.10570743754024327,0.5075730997428648,0.27298464529802796,0.5361528474876086,False,
79,A3,9,-0.010619151561778522,0.01538782549973569,0.7777777777777778,7,0.2288588193104316,0.27450707038198563,0.31017619066643604,0.2798447698592087,False,2
80,A3,9,0.055195298328195475,0.029219629501745385,0.6666666666666666,6,0.08280189726642627,0.5147269174493904,0.1890241131981709,0.43027845364873907,False,
81,A3,9,-0.0056876538559485455,0.00777218683720481,0.5555555555555556,5,0.016804274141106423,0.23321054289852616,0.22046438174272487,0.27379883593959214,False,
82,A3,9,0.10051713847705275,0.037447080639505866,0.6666666666666666,6,-0.28871113683937266,0.508153506734144,0.28338278667585276,0.6221423302440021,False,
83,A3,9,0.08101983498677258,0.07027008879316766,0.7777777777777778,7,-0.2554472396729236,0.39088548307695575,0.1514484939368204,0.42753336571538236,False,
84,A3,9,0.02655349252743065,0.04547825593915827,0.8888888888888888,8,-0.3401194221741387,0.37421525997711524,0.2208121104138562,0.29807460183760637,False,
85,A3,9,-0.019076673907769404,-0.017171091066498036,0.6666666666666666,6,0.028438452139563124,0.5207866536973205,0.12204955807397554,0.6337972840121939,False,
86,A3,9,-0.023794455412134572,-0.011447612926125424,0.6666666666666666,6,-0.0889012161285546,0.5238719823060914,0.1388500307955684,0.608895197931872,False,
87,A3,9,0.04893750852074007,0.03054311356658887,0.6666666666666666,6,-0.026751307923215586,0.3048533290136505,0.10882974089123461,0.23934932735594378,False,
88,A3,9,-0.014405681284609322,-0.0011135586901851505,0.6666666666666666,6,-0.07975257084664916,0.4337439136949982,0.13567850687120084,0.30806593186608416,False,
89,A3,10,0.05764652669551243,0.032430485667960134,0.6,6,0.26643793271457683,0.4326919246926887,0.31381048846107107,0.5235422179605334,False,
90,A3,9,-0.018155854414846115,-0.0058865932671987396,0.8888888888888888,8,-0.36437158846991474,0.5980557233006456,0.6231023708617852,0.579960535111985,False,
91,A3,9,0.02837404720315981,0.014373905903196024,0.6666666666666666,6,-0.05201412734564331,0.4938249752499538,0.18292294043064852,0.3732982291466411,False,
92,A3,9,-0.018981611866695107,-0.010959283452605514,0.5555555555555556,5,0.016689730439199326,0.48823667242889596,0.16544099717955726,0.34369979442151755,False,
93,A3,10,0.10415756527663332,0.11626805167488058,0.6,6,0.008521733895346379,0.4485191760014507,0.3307678265618059,0.544034262092626,False,
94,A3,9,0.010801310980082711,-0.002537221043177677,0.5555555555555556,5,-0.12725038881785858,0.44076148436831813,0.14566544853085317,0.41658571718139203,False,
95,A3,10,-0.05385636535117466,0.001151159622308075,0.6,6,0.05868894629142245,0.5852031621871643,0.2811005270972017,0.7193376185647683,False,
96,A3,9,-0.05065674831441168,-0.02227755982165653,0.5555555555555556,5,0.019012884280138156,0.33722905825238697,0.2651933220388406,0.38091507478132025,False,
97,A4,10,0.4720366443995838,0.3058633479396496,0.8,8,0.24784657874370203,0.45952111083554853,0.44651436890658125,0.2847230792412002,False,
98,A4,10,0.18691319178918145,0.16894058769805154,0.8,8,0.12367793570399983,0.462280809127079,0.2285332974353153,0.28284879744039215,False,
99,A4,10,0.5098088005798821,0.3816282430644232,0.8,8,0.04541244977652807,0.5351566647487461,0.36706421601996475,0.23769012723948202,False,
100,A4,10,0.3685768981775896,0.29446136068931106,0.9,9,0.5698116316318311,0.375301254556243,0.7179361820504998,0.38246897913565914,False,
101,A4,10,0.37358309367371306,0.40367574292942454,0.8,8,0.5111075924662345,0.5737058907612511,0.7926258667418324,0.31940023007123397,False,
