channel,array_name,array_index,n_matched_sessions,delta_si_median,delta_si_mean,delta_si_std,delta_si_median_abs,si_a_median,si_b_median,si_a_median_abs,si_b_median_abs,waveform_r_median,n_pos,n_neg,n_zero,n_sign_flip,sign_flip_rate,wilcoxon_p,wilcoxon_fdr_bh_q
33,A2,1,10,0.041830282175526944,-0.04227359115254366,0.5883687936550711,0.041830282175526944,0.052885674963670436,0.030876024852954168,0.14088828853573582,0.35962024348315136,0.1048375527523251,5,5,0,5,0.5,0.921875,0.9837458053691275
34,A2,1,5,-0.015152571553878287,-0.057797621368320305,0.16165761413824295,0.015152571553878287,0.16911817383696223,0.36295743133006586,0.16911817383696223,0.36295743133006586,0.08731485227965131,1,3,1,2,0.4,0.375,0.6146907216494846
35,A2,1,7,-0.4214502693021382,-0.4475232504281307,0.8391330555858353,0.4214502693021382,0.08177133675516432,-0.44518349578678706,0.08177133675516432,0.4546881371731183,0.04727011752879429,3,4,0,3,0.42857142857142855,0.375,0.6146907216494846
36,A2,1,9,0.4612482053529918,0.34194640580396446,0.9761106293460228,0.4612482053529918,-0.2424653066350569,0.050110032013347516,1.0,0.5387517946470082,0.3012393852781689,5,4,0,4,0.4444444444444444,0.359375,0.6144153225806451
37,A2,1,9,-0.060836095673522037,-0.09475254427487216,0.6253314377209415,0.060836095673522037,0.059822135748347896,0.061288294709387035,0.24553699891401046,0.19894921422358453,0.060270858323869955,3,6,0,6,0.6666666666666666,0.65234375,0.7917760019083969
38,A2,1,8,0.9764989218041897,0.933571788363867,0.24810203482359947,0.9764989218041897,-0.03689456713315972,1.0,0.16726106092980805,1.0,0.6511401574150615,8,0,0,6,0.75,0.0078125,0.12421875
39,A2,1,10,-0.6249245163108607,-0.45293326807261725,0.7654765614702108,0.6249245163108607,0.30213445580074905,-0.039252618788287674,0.31876913792641237,0.7824919579395289,0.20645359793989188,2,7,1,6,0.6,0.09765625,0.3044577205882353
40,A2,1,10,-0.2237311431696648,-0.35649325042553576,0.738174282153471,0.2237311431696648,0.5594796919141765,0.009963347031764169,0.5834135640187025,0.7058355354508367,0.1273236851797848,2,7,1,6,0.6,0.1640625,0.4075927734375
41,A2,1,10,-0.21187337733032396,-0.3877932598721697,0.4156133659555248,0.21187337733032396,1.0,0.7810642281957694,1.0,0.7810642281957694,0.15953518171830483,1,6,3,2,0.2,0.03125,0.19110576923076922
42,A2,1,10,-0.2122603865597857,-0.2771464228828666,0.746261123591558,0.2122603865597857,0.5148192658984178,0.004547540253874406,0.5148192658984178,0.32338737771820103,0.06685088701783715,3,7,0,6,0.6,0.322265625,0.5693359375
43,A2,1,10,-0.09940935478753066,0.043206036842878895,0.564763564521987,0.09940935478753066,0.35687869870016076,0.32347936039194725,0.35687869870016076,0.32347936039194725,0.11325585926865356,4,6,0,1,0.1,1.0,1.0
44,A2,1,10,-0.09988201397338639,0.05687929966681473,0.9353463589252514,0.09988201397338639,0.1277416241978501,0.0915370858692851,0.407229073831534,0.27828411621391314,0.10761095409442914,3,6,1,5,0.5,0.91015625,0.9778029983108109
45,A2,1,8,-0.4261667616973003,-0.5096522647462849,0.6414397548770716,0.4261667616973003,0.08429889097343468,-0.7817050876867637,0.1404102694011949,0.9608483304194768,-0.008413226656173743,1,7,0,5,0.625,0.078125,0.28411735372340424
46,A2,1,10,0.541269022646617,0.44061473638035886,0.592821752746362,0.541269022646617,-0.8468672179202996,-0.1246516523971948,0.8468672179202996,0.2062211563375566,0.06460812594541887,7,3,0,6,0.6,0.083984375,0.28411735372340424
47,A2,1,10,1.3557246853930345,1.2997667258099097,0.5881428771334991,1.3557246853930345,-0.7901198618309346,0.830583009541857,0.7901198618309346,0.830583009541857,0.19023621421439313,10,0,0,10,1.0,0.001953125,0.103515625
48,A2,1,9,0.22096502000180368,0.16097098155022008,0.8645723564636775,0.22096502000180368,-0.0940753833272704,0.08900943026241007,0.10865986203756003,0.16726348996666324,0.05923540925007056,6,3,0,7,0.7777777777777778,0.30078125,0.5693359375
49,A2,1,10,-0.00102391126718537,0.011095444789623033,0.2720832844563801,0.00102391126718537,0.27228356517561203,0.21059276970821023,0.3197732374298815,0.21059276970821023,0.0015669768134940684,4,5,1,2,0.2,1.0,1.0
