channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,stable
112,A4,8,-0.05816382734411944,0.0025151002536729795,0.625,5,0.0003227600935567877,0.007205076764117393,False
113,A4,5,-0.07848713049449782,-0.0419434053431277,0.6,3,-0.003087199839677149,0.007064142133826155,False
114,A4,8,-0.030399315253689982,-0.0003102875888158303,0.625,5,-0.0011009913502405483,0.012190610858459123,False
115,A4,5,0.08673999044675744,0.08145499189607984,1.0,5,-0.005166967812111682,0.0017115208251021695,False
116,A4,8,0.022399711958167742,0.0009110254422044425,0.625,5,0.00043785167488780044,0.003401686946368174,False
117,A4,7,-0.06899372943701851,0.003163969333351836,0.5714285714285714,4,-0.00044434421606986415,0.007113899961102188,False
118,A4,7,0.09732943059076432,0.009896540786582305,0.7142857142857143,5,-0.002225160622137965,0.012159529218949234,False
119,A4,8,0.006370336778620358,0.0001926671986594793,0.625,5,-0.0005220051717034146,0.0025331160274119457,False
120,A4,5,-0.03954463520726556,-0.004488275451241182,0.8,4,0.0033293094446626994,0.012240572787062991,False
121,A4,8,0.6326217052284908,0.22623429268804973,1.0,8,-0.012176222810004212,0.00516194116229138,False
122,A4,8,0.8372741157247202,0.24531759463134759,1.0,8,-0.02837171697668219,0.00625521870780753,False
123,A4,7,-0.11561315281570608,-0.01766059566398081,0.5714285714285714,4,-0.0014548580204183756,0.0028658486810221187,False
124,A4,7,-0.07650889869275464,-0.02005094991221805,0.5714285714285714,4,-0.0001327468410388087,0.003475216504769339,False
125,A4,8,-0.003076362392703709,-0.027444589969890996,0.5,4,0.0006935697662623179,0.0018562794145804693,False
126,A4,8,0.00809882369414236,-0.023255573780711098,0.625,5,0.0012147733628052435,0.0020637290415425236,False
127,A4,7,-0.026879231239142192,-0.0021769680540948606,0.7142857142857143,5,0.0013012883747351243,0.008597317331329362,False
128,A4,7,0.05196274984572552,0.04623671615173886,0.5714285714285714,4,7.224983213803146e-05,0.003269531860275945,False
129,A5,7,0.08938254342914338,0.04874315653987731,0.8571428571428571,6,0.0007730256538173284,0.006917719726503592,False
130,A5,10,0.39165529495133883,0.13483119511391384,0.9,9,0.008414494706146806,0.006497590629505721,False
131,A5,5,0.0013371228042113117,0.004305159954455583,0.8,4,-0.0015533740542981807,0.013863802066152583,False
132,A5,9,-0.029438275878478262,-0.0016879415267897927,0.6666666666666666,6,-0.0034197844227455442,0.009906502611173958,False
133,A5,10,0.18866235669778675,0.05406533472798298,0.5,5,0.0007142953464835832,0.0025811716169140348,False
134,A5,10,0.35351661042524013,0.18694668139525047,0.6,6,0.002394964231170417,0.01313273219657326,False
135,A5,10,-0.00253249718132766,-0.004955573286979694,0.7,7,0.0012763158047744316,0.0031728156682242574,False
136,A5,9,0.03540457504080327,-0.020932604040656205,0.7777777777777778,7,0.0008214866697507984,0.001849783082166689,False
137,A5,10,0.2623833099705256,0.12704832058678592,0.9,9,-0.0025864592037874953,0.001788261434607529,False
138,A5,10,0.32285213807144686,0.07774311885893596,0.6,6,0.0024883125567713407,0.00951651270973707,False
139,A5,7,0.13791899900303872,0.13006079128408274,0.5714285714285714,4,-0.003077736770858889,0.0072124790293747335,False
140,A5,6,0.08010121568946232,-0.0001279022808329543,1.0,6,0.010955959468295766,0.004760145420652593,False
141,A5,5,0.06954905907419379,0.03775431301962502,0.8,4,-0.0018270998793078273,0.0026148858475152606,False
142,A5,9,0.47022363837092795,0.19111921966173095,0.8888888888888888,8,-0.004027550404138578,0.006510754208286112,False
143,A5,10,0.007032892413780334,0.020363904068012622,0.6,6,0.0015254878868191176,0.002743953708402928,False
144,A5,9,-0.05361957645360196,0.002390911508398732,0.5555555555555556,5,-0.001208315798719028,0.005671021072944035,False
145,A5,10,0.02225098611103011,0.00995731858308836,0.5,5,0.0004676467057823148,0.001773992769030402,False
146,A5,10,0.7576390631045509,0.2431785914579797,0.7,7,-0.0028684110498064957,0.0069841788557858265,False
147,A5,10,0.22993492172947352,0.027785049339211897,0.7,7,-0.002232012332911186,0.005577585275222618,False
148,A5,9,0.30930439961808565,0.16786625022685556,0.8888888888888888,8,0.003652945339588736,0.003236616793226973,False
149,A5,10,-0.014451591877157173,0.0001034163445307654,0.6,6,-2.3155652878855543e-05,0.010631023840573349,False
150,A5,10,0.04564731560855504,0.0029426054306262357,0.7,7,0.002910688078998167,0.006932800238115057,False
151,A5,10,-0.01682234378821345,0.003434807245737512,0.6,6,-0.0005197552164976229,0.003910468806654363,False
152,A5,10,-0.021124605825966317,0.004780647173847748,0.5,5,3.8080546428109806e-05,0.0018240824162599355,False
153,A5,10,0.1169359895527921,0.16029155647363086,0.9,9,0.004120281266475825,0.0034388943382594405,False
154,A5,6,-0.010401333718177513,-0.038065850318464406,0.8333333333333334,5,-0.005940158296605203,0.0077152588340816146,False
155,A5,8,-0.055306400512262294,0.006328690695565212,0.625,5,-0.001310687005816523,0.003820616767018345,False
156,A5,7,0.03281564841205282,0.004776906293302895,0.7142857142857143,5,-0.006675612395253642,0.009829984646767738,False
157,A5,10,0.046529807639100286,0.029134683118286472,0.6,6,-0.0008696102647668544,0.002637380895555842,False
158,A5,10,0.04121263580255999,0.0010878295598742546,0.5,5,0.001630635392630514,0.0048310287654116015,False
159,A5,8,0.03372252376862206,0.011634940931412603,0.625,5,-7.865231296047223e-06,0.0038439058966255575,False
160,A5,9,-0.0012739195492247086,-0.0022632897445147796,0.6666666666666666,6,0.000128625557312192,0.004365142441232349,False
