channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable
29,A1,10,0.3808687423143283,0.20717673509685222,0.9,9,0.011535268660375903,0.00938936412083252,0.013425178093815623,0.012373127092691567,False
30,A1,10,0.7347243801091644,0.4643104038601101,1.0,10,0.034041052565928404,0.016594523221993587,0.03168706863971831,0.01710541100969374,True
31,A1,10,0.41770768485270227,0.34667594116906764,0.9,9,0.008477070580134078,0.0051711159410940555,0.007760961085647696,0.005810822366553432,False
32,A1,10,0.6526742914551101,0.5079353352500314,1.0,10,0.019606099300136483,0.008261178392712272,0.018174764574932622,0.008564144023166267,True
33,A2,7,-0.025738196141014066,-0.0028914474886523205,0.8571428571428571,6,0.009497610409162307,0.012544023884532688,0.0070861398994800815,0.015068701107426422,False
34,A2,8,0.0849536125228331,0.010276841764267184,0.625,5,-0.0027883533657202097,0.020602241156783302,0.0037064777659520146,0.025438671401963,False
36,A2,9,-0.05059111521718131,-0.005021957502601424,0.6666666666666666,6,-0.006562253083888408,0.012117137362882984,0.0037421465158971345,0.005379698775512406,False
37,A2,10,-0.033427437005666805,-0.0034863499296476056,0.8,8,0.0009976352625203362,0.020136738964176087,0.0027566808340156995,0.007104930949844301,False
38,A2,5,-0.00637651563039263,-0.005057081345942229,0.6,3,-0.012275075738655359,0.03185896231761767,0.004725085324813922,0.006487249161503345,False
39,A2,10,0.1787610574656396,0.1314387314835194,0.8,8,-0.00038584994518759677,0.0026923749393664674,0.0018123363932469778,0.001889668895269272,False
40,A2,10,0.08542972789967981,0.02363622140646773,0.7,7,0.0016478759959605114,0.0119388601265663,0.003986128961826726,0.010704629285244531,False
41,A2,10,0.39112901639891884,0.2589751324638234,1.0,10,0.011699022459926304,0.006729933415063918,0.01086781661269759,0.007264322964960455,False
42,A2,10,0.016828550802147926,-0.002633335677312784,0.7,7,0.004592929597454054,0.006606992359643354,0.004323561479556319,0.006503971177915874,False
43,A2,10,0.5363708474416236,0.2895873776915516,0.7,7,0.003131903462864618,0.006558529105654618,0.0057882312617624125,0.007268230566756292,False
44,A2,10,0.3098320066879343,0.011403274721657638,0.7,7,-0.004400014039273931,0.030913704630417264,0.010993098843065475,0.013815021543066047,False
45,A2,8,0.22072014422898387,0.22205244944032246,1.0,8,0.0026643622152494884,0.0018381072696712583,0.0025058984452994734,0.0017954720757330767,False
46,A2,10,0.04983046609579716,0.02259512190926464,0.9,9,-0.005223533460893107,0.005324904249937554,0.003941322799182463,0.004519507777201936,False
47,A2,10,0.5811258408212351,0.46459056076169697,0.8,8,-0.006270231663626819,0.007400930056273983,0.005688804234606888,0.008509572219642388,True
48,A2,9,0.012846217829829075,0.019838660757380708,0.6666666666666666,6,-0.006352838920625167,0.013410395375860843,0.003606377312838737,0.005842965015347366,False
49,A2,10,0.03502671588752127,0.011729021704239385,0.6,6,0.0015979442490291714,0.00886623930727922,0.002458906856310489,0.005109517271102766,False
50,A2,8,-0.03298161932659176,-0.009284494530019427,0.75,6,0.005568293333517416,0.007271908852029695,0.002872100996299533,0.004133227140659549,False
51,A2,9,0.013726181986695249,0.0017933595146433082,0.5555555555555556,5,0.001152320029690545,0.004131318021732289,0.0039062442970858144,0.004884538125142805,False
52,A2,9,0.2217614485156848,0.18887099580474156,0.7777777777777778,7,-0.002439201214847666,0.0026205012356623134,0.0018691192005733975,0.003168230815351998,False
53,A2,10,0.06444958933302243,0.009929335408198991,0.7,7,-0.001159995117694164,0.002259849392864678,0.0016687321750700418,0.0026396101188056716,False
54,A2,8,-0.0012892671332302738,0.023096600681591476,0.875,7,0.0022247252532273942,0.0015100193849506263,0.0022002973859570297,0.001548007175774768,False
55,A2,10,-0.010649840669214074,-0.006949652243467021,0.6,6,0.0011579382080582348,0.002743657001004765,0.0015680106634545802,0.0023245876419037983,False
56,A2,3,-0.05320085051657534,-0.07584119904066756,0.6666666666666666,2,-0.0041708022445329325,0.004549437155901938,0.003049870679270955,0.0071680814077556415,False
57,A2,10,0.01867530260221838,0.011305760298709246,0.7,7,0.0011185222804418944,0.007368247694820647,0.001591767720188391,0.002329594943290741,False
58,A2,10,-0.002242344361490135,-0.0005435629275016235,0.7,7,-0.001090049132006337,0.0029347211391547072,0.000739072409551422,0.0020651990420032977,False
59,A2,10,0.14898174506903958,0.08466009179589096,0.8,8,0.005054981252714331,0.004424341432830297,0.005062699890339279,0.005747503245691368,False
60,A2,10,0.020596550517455722,0.009289753785065974,1.0,10,0.007394395421079491,0.006888729503854557,0.006674602408274858,0.004622763728274356,False
61,A2,7,0.3635827989137713,0.19701666286958128,1.0,7,0.008871052512985382,0.00577343691546075,0.008939617356237545,0.007034274979353914,False
62,A2,10,0.3849392519913355,0.17494876248357658,0.9,9,0.00450860657918308,0.009674922451146527,0.008113521797023744,0.007378648466636718,False
63,A2,10,0.6030529181501921,0.44975828728525247,0.9,9,0.012429948828066863,0.006540970755874641,0.011106959397581107,0.005703303136314709,True
64,A2,10,0.20260153957875968,0.0806513697960133,0.8,8,-0.007971025013188911,0.011337413401917237,0.005096311315566295,0.0074959939452294835,False
65,A3,9,0.3288170827893273,0.18149026432093424,0.8888888888888888,8,0.007623132628203629,0.0056733617408591475,0.006999347550471271,0.006354563529746259,False
66,A3,9,0.34327135433580813,0.09225573560696936,0.8888888888888888,8,-0.010708013712874736,0.013866259132401849,0.00844450416841832,0.017039032193588405,False
67,A3,7,0.3762791396165855,0.2096750947833164,1.0,7,0.021331738658440038,0.01550748376100947,0.014981970786101372,0.01583674746040828,False
68,A3,7,0.42723150083044525,0.277818737269937,0.8571428571428571,6,0.01670761154625342,0.015094882035513341,0.014268840010504782,0.020923007128270582,False
69,A3,10,0.3587881758017583,0.10693136812034723,0.6,6,0.0026061452720089885,0.02079347504670218,0.010493817974388451,0.01573511323980929,False
70,A3,10,0.3576189388686037,0.24321654491433228,1.0,10,0.008333210493384747,0.004491117884358114,0.007420792092346399,0.0038118296970666397,False
71,A3,9,0.7061694239117886,0.5719101225932796,0.7777777777777778,7,0.008231039710319217,0.010652999313866197,0.01080274956607951,0.012352905110606018,True
72,A3,10,0.011056060312857777,-0.0025636265475361885,0.7,7,-0.0007934149087969232,0.009499190875018342,0.002554057499399422,0.010178163643225407,False
73,A3,9,0.00544774680558695,-0.024078299730371053,0.5555555555555556,5,0.0005089812407883917,0.0046350032639585525,0.002814907212769193,0.0034127238620154984,False
74,A3,10,-0.008560514095124056,0.008193186900914669,0.8,8,0.0043079715130319215,0.005371650503119498,0.0030133612042262583,0.0050878959035066534,False
75,A3,10,0.023583696170092518,-0.01457768948169465,0.8,8,0.0024390997152698417,0.003869997428099499,0.0045169683441756096,0.0041663286925081935,False
76,A3,10,0.3803233221727946,0.18259131324128022,0.7,7,0.00780043157378846,0.011199753117269265,0.007302662575337586,0.014049464446899607,False
77,A3,10,0.16000870431422898,0.04789758536362533,0.7,7,0.003754645531369566,0.009797748413972586,0.004981234499551556,0.011074448599102681,False
78,A3,10,0.2695127272290725,0.11999148783088887,0.6,6,-0.002347175379773059,0.006740306314181373,0.0029853776296053106,0.00506377439159484,False
79,A3,9,0.19353362915736172,0.013897424403610645,0.6666666666666666,6,-0.0010915824122477837,0.043137092780468005,0.00899005821315188,0.018933489273239675,False
80,A3,10,0.21599971437280324,0.14244939387845154,0.9,9,0.004103722291192223,0.003555854984400408,0.003336765297010726,0.0038742444265440264,False
81,A3,10,0.16954438637938468,0.18405729175663935,0.9,9,0.004380196837635438,0.0030279817792296776,0.005155531507150597,0.003024787357648114,False
82,A3,10,0.49158602470289886,0.2889524119981723,0.8,8,0.012602419382254124,0.009161495264080888,0.015293040008683995,0.009105892802440316,False
83,A3,9,0.02740908963828105,3.970894373048273e-05,0.5555555555555556,5,-0.01388735861497032,0.04564404824428609,0.0027016952931558334,0.006366175964154413,False
84,A3,10,0.024405729000678406,0.013452271568222532,0.8,8,0.006338089461519513,0.0059885509109267095,0.006774666091629691,0.006755071540608779,False
85,A3,10,0.7248247133076411,0.46664395709332895,1.0,10,0.026843674564350363,0.0179495602737603,0.022933157815033356,0.018213207841484752,True
86,A3,9,0.12282096424325506,0.013430727369378835,0.7777777777777778,7,0.0021475543610499064,0.025089760382971976,0.017095458784071933,0.024317203566449216,False
87,A3,10,0.33443090338871423,0.2638153035044082,1.0,10,0.015249798665953385,0.004983142030055204,0.013567880097352603,0.004861462031437313,False
88,A3,10,0.09421488677539214,0.032324957750469736,0.8,8,0.006206137984019701,0.007702143087786391,0.005757797126094799,0.008826586096586715,False
89,A3,9,-0.03140505280801942,-0.014972661852942947,0.6666666666666666,6,0.001734161441290313,0.002506290032664665,0.0014251102525446094,0.0030007666702245714,False
90,A3,9,0.05455452768685079,0.013314199496265663,0.5555555555555556,5,-0.0012843382696877915,0.0038836053207975314,0.00120441962464274,0.002956615699790172,False
91,A3,8,0.06248255155707086,0.059397085585593236,1.0,8,0.005379333624688001,0.004958551292621626,0.002889375123051741,0.0037559245129452938,False
92,A3,3,0.07846834650723623,0.004089293991339627,1.0,3,-0.021703601760304767,0.005852690628366923,0.020749939112689682,0.008550808364268553,False
93,A3,10,0.11511953327874805,0.07665057715993047,0.9,9,0.004682594760583015,0.004018856053579311,0.004108747084324496,0.0037957256448446367,False
94,A3,9,0.10275811769078375,0.027222221915357968,0.7777777777777778,7,0.005453117120478588,0.00924606294053068,0.004522086859194088,0.010795378797459003,False
95,A3,10,0.6929490733180711,0.49140956075391923,0.5,5,-0.008763290778109502,0.018009950422868633,0.00996561368651223,0.019834897978849554,False
96,A3,7,-0.016591049430729612,0.06360593135798046,0.5714285714285714,4,-0.002017343421832892,0.006268534871938423,0.004300739025147365,0.007094700496656802,False
97,A4,10,-0.007913634708573244,0.00040925690467033554,0.6,6,0.0017807669890632233,0.011514085324925923,0.00498435502028663,0.007117665005473488,False
98,A4,10,0.16472654002198006,0.06083489671941033,0.5,5,-0.0002603661698182159,0.0038212647415284723,0.001510070136923832,0.003680130055898149,False
99,A4,8,-0.0016075246414725382,0.01796611437621655,0.625,5,-0.0009470958655044229,0.0024042049889283538,0.001782496159201111,0.0029993252889840578,False
100,A4,10,0.014587932889121845,-0.0013449495216010605,0.8,8,0.005325604856360155,0.012288770963108233,0.006895635684434961,0.012812885104720397,False
101,A4,10,0.016883891384326537,-0.005217636366553248,0.6,6,-0.001735501633659477,0.006971624429507279,0.005489855882711283,0.0074293874170195,False
102,A4,9,-0.033978860986947586,0.011709154678541505,0.5555555555555556,5,0.0009185395566917369,0.006865472725633059,0.0057865367966473515,0.007647381046802407,False
