channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,stable
64,A2,10,0.32946723290438357,0.2469272638424082,0.9,9,-0.23363960202201617,0.47604543325417237,False
65,A3,10,0.15354227018010458,0.1352687620342486,0.7,7,0.21462069521581517,0.6105835726470011,False
66,A3,9,0.44936944038374593,0.1794309223920503,0.7777777777777778,7,0.5306698566941341,0.6388623771044216,False
67,A3,7,0.6302671671605703,0.3156731420689344,1.0,7,0.8283634106545898,0.27820087263320453,False
68,A3,9,0.7221328100261428,0.4519292636675063,0.7777777777777778,7,0.5585337595967291,0.5087179391317299,True
69,A3,10,0.5438011239663513,0.29256807347734004,0.6,6,0.10359951825645422,0.5008282959279248,False
70,A3,10,0.6240911510828205,0.4745825683383624,1.0,10,0.7533076078120388,0.2640927253817592,True
71,A3,9,0.6219564750274623,0.5336379758411871,1.0,9,0.8825525031999605,0.1821582572393287,True
72,A3,8,0.10814193875905471,0.0719906389194373,0.875,7,0.2716516546773561,0.33002528856188895,False
73,A3,8,0.03539847139369555,0.030158009897462434,0.75,6,0.14726582704801483,0.42888094087069606,False
74,A3,8,0.02969191178414013,0.007428126490778783,0.75,6,0.08106413634888772,0.7137040428256184,False
75,A3,10,0.3434631736741282,0.11502278504984847,0.9,9,0.6787231743492947,0.4120827083994133,False
76,A3,9,0.6064274062064781,0.29920410560513117,1.0,9,0.638617384746593,0.35100488029523386,False
77,A3,10,0.4142556133035879,0.2951870208458262,0.9,9,0.5185372601013317,0.4203592203804617,False
78,A3,10,0.4989132951394018,0.38441722727893574,0.7,7,0.38700826126209253,0.4391314443169239,False
79,A3,10,0.24330824606063936,0.11346149924196505,0.6,6,0.3186712615349896,0.4519439784183301,False
80,A3,10,0.2987737425788983,0.2634841585374528,1.0,10,0.6553268842627562,0.31865628365872584,False
81,A3,10,0.5474288831659323,0.33477426307104746,1.0,10,0.7444851207347334,0.35196910311067786,False
82,A3,10,0.3882464772890536,0.31496943027016283,1.0,10,0.8237315127015366,0.24279503852838752,False
83,A3,8,0.15206733650223417,0.11039415709173148,0.625,5,-0.22864801410367386,0.5701940886229305,False
84,A3,9,0.13465882997858847,0.042798349977789835,0.6666666666666666,6,-0.10032589560722158,0.644521497924637,False
85,A3,10,0.7428879981363852,0.595100261416633,1.0,10,0.8174670471543812,0.30886107665844637,True
86,A3,7,0.2840156592682052,0.16848737049038354,0.8571428571428571,6,0.5902557854152108,0.47656636784565476,False
87,A3,10,0.3883050649152944,0.13216513375892885,0.9,9,0.5571542730745472,0.46519774700506716,False
88,A3,10,0.11551784782456728,0.09830705626955669,0.9,9,0.45718039741852345,0.5897748963488552,False
