channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable
23,A1,9,-0.007189085801269391,-0.004972786508182741,0.7777777777777778,7,-0.1513779020095097,0.2000269432774115,0.09454168331237628,0.19602560520882495,False,5,False
24,A1,9,-0.052493278054567126,0.07084933895722297,0.6666666666666666,6,-0.45156695265918795,0.7337946714209918,0.9835758738270989,0.7796036280276777,False,8,False
25,A1,9,-0.04719597973121319,-0.036030850078660755,0.5555555555555556,5,0.11203657507892789,0.35675563074564287,0.24108989617550822,0.3235766378915462,False,1,False
26,A1,9,0.030993135978506167,0.03807876415408206,0.5555555555555556,5,0.24301126570467182,0.7873413063302129,1.0,1.0,False,5,False
27,A1,9,-0.015522782895759334,0.004826837264246749,0.6666666666666666,6,-0.1813405156886761,0.3713778295462407,0.27371425858637133,0.4277594793806303,False,1,False
28,A1,9,0.14675699004887754,0.04857953439632964,0.5555555555555556,5,-0.22700098048419268,0.5258409909931496,0.503908824008601,0.8019595953618788,True,9,False
29,A1,9,0.006633379494308265,0.014773442109532147,0.5555555555555556,5,-0.1597329817042688,0.6139251465934329,0.35215219971432454,0.7159360081942081,False,1,False
30,A1,9,-0.08122947764927263,-0.032403331161616936,0.5555555555555556,5,0.14989529261771117,0.41146329940112536,0.2523977098490415,0.46149750412442647,False,3,False
31,A1,9,-0.05072669445754811,-0.028064243971200505,0.6666666666666666,6,-0.16201230655830048,0.49351607309362466,0.31277205827409765,0.5421506863827705,False,6,False
32,A1,9,0.13406509599755964,0.04927886981520922,0.6666666666666666,6,0.387499087882073,0.699723083906047,0.9223825478650608,0.7452035107452782,False,8,False
33,A2,9,0.23549195512974586,0.153096732512901,0.7777777777777778,7,-0.4829061182746322,0.6558285040754479,1.0,0.7006451538129963,False,7,False
34,A2,9,0.06813274104852385,0.10211149652679502,0.5555555555555556,5,0.008448949513956052,0.6020364888297357,0.2993230394821115,0.8111279779162146,False,4,False
35,A2,9,0.022541896383947282,0.030212767994715502,0.6666666666666666,6,-0.035599370648681204,0.35923391455593534,0.16582211797272722,0.31702876976888744,False,0,False
36,A2,9,0.14905935345451837,0.11350131835031504,0.7777777777777778,7,0.15374203132858286,0.17576068871008432,0.12062205802881697,0.18837461875880335,False,8,False
37,A2,9,0.00854821011112572,0.018206186636044307,0.7777777777777778,7,-0.32435659332571487,0.4123992714815389,0.29955772064660574,0.5086068067580576,False,2,False
38,A2,9,0.001492572144824087,0.0010452808387262965,0.5555555555555556,5,0.07216937847382127,0.524095034731671,0.1665196898900345,0.6615952218651119,False,0,False
39,A2,9,0.06355898988590265,0.06953223327366893,0.7777777777777778,7,-0.2506771409998753,0.4220429402849193,0.3649320286452133,0.4887518375177758,False,6,False
40,A2,9,-0.0265411346688237,-0.01877330081048459,0.6666666666666666,6,0.09167925478347093,0.346765895812696,0.2003806354088628,0.3180510390749774,False,0,False
41,A2,9,0.13300258980618218,0.08389797196957417,0.5555555555555556,5,0.061283204435991036,0.18155675822112344,0.17524398371136315,0.21369509572156814,False,6,False
42,A2,9,0.14281946905271267,0.11222563458653187,0.6666666666666666,6,-0.16852265352138354,0.3370318016925446,0.07575079271242709,0.17466243002751392,False,0,False
43,A2,9,0.06498305061749977,0.13566946978075198,0.5555555555555556,5,0.08009367614729566,0.40448737920269695,0.17956038285869608,0.3255966173129962,False,4,False
44,A2,9,0.048623775558059315,0.04248175720647396,0.5555555555555556,5,0.08514564308720242,0.305658262406174,0.1773446474531501,0.2893312903105936,False,0,False
45,A2,9,0.04790135013766078,-0.0017609717085401322,0.6666666666666666,6,-0.3690994066105657,0.46296326873071153,0.20866075731330405,0.5636893973359779,False,1,False
46,A2,9,-0.0260846194983001,-0.027707783477461747,0.5555555555555556,5,-0.0021190875746774176,0.4448534336935412,0.1777067740849561,0.4628652047121155,False,0,False
47,A2,9,0.01963669210195324,0.0287894722818704,0.7777777777777778,7,-0.26404273455980753,0.45468041825091654,0.14254060789936887,0.5396434271759551,False,1,False
48,A2,9,0.027889194596960622,0.042643859587429556,0.5555555555555556,5,-0.05731149115226451,0.369360076176021,0.09084517577893864,0.26365630082162606,False,0,False
49,A2,9,0.18172430833586312,0.16604105316087922,1.0,9,-0.5357418905759386,0.32586803814198134,0.5507512043005826,0.35797377879739184,False,4,False
50,A2,9,0.10089849595364767,0.0769503839937296,0.5555555555555556,5,-0.24635427350194503,0.6038357292309702,0.38487607952825537,0.6877893401637544,False,2,False
51,A2,9,0.029825325731567404,0.017891539425435317,0.6666666666666666,6,-0.059628253181601094,0.6119215197815685,0.5864914109232227,0.6460731505153603,False,0,False
52,A2,9,0.0194990368466141,0.022765279563776716,0.5555555555555556,5,-0.10335854731127184,0.8146907651457798,0.8866704749301451,0.8902943925088156,False,5,False
53,A2,9,0.046140348052633076,0.07606007968029262,0.5555555555555556,5,-0.0157870194606181,0.598598766522649,0.4647348667607346,0.6717794660081436,False,1,False
54,A2,9,0.40972810172385354,0.36426816146942326,0.8888888888888888,8,0.4226952381555262,0.4074714270391697,0.2633922520976572,0.5741106802816038,True,9,False
55,A2,9,0.10194122719679155,0.05942020352667458,0.5555555555555556,5,-0.14383885195171103,0.7128872361146695,0.6537929320371916,0.8908858632875685,False,7,False
56,A2,9,0.05938521516074691,0.0737039664497802,0.7777777777777778,7,-0.18043426732480017,0.3531296728281877,0.19962674920082532,0.2870933171714426,False,6,False
57,A2,9,0.09172924570161625,0.06647957170057524,0.5555555555555556,5,-0.04856305380056684,0.49735510448906656,0.24916961469237708,0.48791094220839926,False,1,False
58,A2,9,0.017750283851337895,0.008238802716741808,0.6666666666666666,6,-0.18283375391051968,0.5515852146747382,0.42982667124871826,0.6279595673667937,False,0,False
59,A2,9,0.09367160445503026,0.09421695737841025,0.6666666666666666,6,-0.3851234200576663,0.4444697085470534,0.1844983953688882,0.5335026173136322,False,5,False
60,A2,9,-0.02719747993532353,-0.01933453597413583,0.5555555555555556,5,-0.10079175242949669,0.41815563834683755,0.11237792906206742,0.47374071234841864,False,0,False
61,A2,9,-0.06757018545314174,-0.01219368517877723,0.6666666666666666,6,-0.11433425478760698,0.383158905570978,0.10969110793092808,0.40019513054057776,False,0,False
62,A2,9,0.014433196987945646,0.03410558937417954,0.5555555555555556,5,0.17337040320899322,0.48959186345131045,0.10360565754496637,0.60725454251807,False,0,False
63,A2,9,0.09290204148926888,0.07058922212203589,1.0,9,-0.5639459732457424,0.36861882558994913,0.6142734326894616,0.40153197799823015,False,6,False
64,A2,9,0.05295710367041623,0.03990302401310234,0.5555555555555556,5,0.07590324805018261,0.3812076466514566,0.14694493898559172,0.30735745898750116,False,2,False
65,A3,9,-0.018839351440548005,-0.025773507030274877,0.5555555555555556,5,-0.08423791228406481,0.6069027924714584,0.5496462776434441,0.7313905042348876,False,2,False
66,A3,9,-0.032500454846382476,0.003679783334212504,0.5555555555555556,5,-0.013318773305656798,0.48034045577248585,0.10473845896917364,0.3956115334729322,False,1,False
67,A3,9,-0.01823269536965982,0.009607393484287678,0.6666666666666666,6,-0.013913316191586558,0.5296680664287962,0.13034236210067174,0.5866973092861608,False,0,False
68,A3,9,0.023239757377396114,0.011572611236612466,0.7777777777777778,7,-0.15706489835442342,0.31114596030067504,0.1078075869691148,0.13957866613609524,False,0,False
69,A3,9,0.03175729020831989,-0.012976269572952824,0.6666666666666666,6,0.18117655019638587,0.46061879551729756,0.085505435216795,0.5636014134040583,False,2,False
70,A3,9,-0.02764493706035264,-0.04302842623855925,0.6666666666666666,6,-0.06946309829509373,0.2105321377287103,0.10029179124655782,0.24292652524463293,False,0,False
71,A3,9,0.030419569437356297,0.03532095960197327,0.7777777777777778,7,-0.05567648274774949,0.11513130268454559,0.03458705718784132,0.07216076706077545,False,0,False
72,A3,9,-0.07362242702171512,-0.021745305428650507,0.6666666666666666,6,0.26727471138409603,0.43707042229349036,0.2614723267390324,0.42495468874311115,False,0,False
