channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,task_evoked,n_sessions_task_evoked,stable,tuned_stable_rank
43,A2,9,0.8210055752375904,0.6796469857778079,1.0,9,0.528367690956329,0.28405579427127386,0.5559546954347314,0.32045483103036476,False,8,False,
44,A2,9,0.21634268681877394,0.0701190999169016,0.8888888888888888,8,0.42305020393201587,0.3675280596385572,0.3450846341874153,0.4051716031670317,False,6,False,
45,A2,7,0.616900575410723,0.5694078528887184,0.8571428571428571,6,0.52184434693976,0.4511326476143944,0.5435676069179787,0.5286683206154801,False,0,False,
46,A2,9,0.21879375517449778,0.16412132683738845,0.7777777777777778,7,0.5706510097151556,0.5076128374099022,1.0,0.5763454442783658,False,4,False,
47,A2,9,0.4625393910342226,0.43775737264091374,1.0,9,0.6318818332342333,0.35282958312421414,0.5659285051191875,0.43407149488081254,False,6,False,
48,A2,8,-0.07712688498997758,-0.044228205320848535,0.5,4,-0.14775220611620635,0.5242133253140973,0.2557993799366989,0.4914228019506307,False,0,False,
49,A2,9,0.027581870858603922,-0.00015398636200762177,0.7777777777777778,7,0.0016660481358609786,0.23953075949408004,0.06853663623990994,0.28133487706804383,False,1,False,
50,A2,8,0.034267587925975555,0.031384729177564456,0.625,5,-0.042256519697164194,0.38387558239464564,0.11271950497875854,0.2214849386147833,False,0,False,
51,A2,8,0.14850326214652437,0.13043518750026079,0.625,5,0.2214541161580671,0.41966640002728506,0.21136642612889123,0.43007816691621503,False,1,False,
52,A2,8,0.27742090751516735,0.23191004933485587,0.5,4,-0.05075297248049132,0.5078826714531649,0.42477155408016853,0.6372923127322061,False,5,False,
53,A2,9,0.013307114084077625,-0.004407848340771018,0.6666666666666666,6,-0.06280273621295487,0.21551141022908082,0.0876349954276307,0.19600614187431348,False,2,False,
54,A2,7,0.08585991478638996,-0.005633221432254091,0.8571428571428571,6,0.007581136722932406,0.35435984169852436,0.1335252103198158,0.24403821860327188,False,2,False,
55,A2,9,0.16385418435072371,0.11044764314750409,0.5555555555555556,5,-0.00821028646268587,0.6378505977812468,0.24154622686698712,0.8640757278571185,False,6,False,
56,A2,3,-0.27759645324060334,-0.049095955789215946,0.6666666666666666,2,-0.2245156117090933,0.8659458235522762,0.8514155315494429,1.8221313035778368,False,1,False,
57,A2,9,0.005745674507326908,0.015548797406347296,0.5555555555555556,5,0.05729247020805982,0.19576361228801312,0.07553030070878479,0.17737700876398663,False,0,False,
58,A2,9,0.08392394482477658,0.08060046862694613,0.5555555555555556,5,0.008608855578876902,0.2752910454133243,0.22789170773690387,0.34453148679569734,False,0,False,
59,A2,9,0.38371322053895557,0.34590082300454716,0.7777777777777778,7,0.23223526661262733,0.3969620354407572,0.16797656739881386,0.47409240129050567,False,5,False,
60,A2,9,0.5610392218793636,0.3339712653294177,1.0,9,0.6466221037079685,0.3165776729243984,0.7852186632385372,0.41127661100811064,False,8,False,
61,A2,6,0.20604411520023183,0.1717335252642081,0.8333333333333334,5,0.4737233096734448,0.5077919323137688,0.5477184503802028,0.8992763044964409,False,2,False,
62,A2,9,0.4158405224702774,0.25608713741948413,0.7777777777777778,7,-0.459320462415477,0.43133968250767557,0.21613279387965056,0.5032047055934272,False,8,False,
63,A2,9,0.6091975895438076,0.43917274342324863,1.0,9,0.7660494454228263,0.3102583299358014,0.9669673582961382,0.30657816553000894,True,9,True,
64,A2,9,0.5720076496436028,0.4845887603982972,0.7777777777777778,7,-0.3084663458367634,0.5787570837597507,0.5375792818737266,0.5652716307273218,False,8,False,
65,A3,8,0.1292127153159407,0.0891018219089896,0.75,6,0.3324934969401704,0.4312261008394328,0.13287913318488156,0.6583265706822641,False,5,False,
66,A3,8,0.11635462426446398,0.10867548948856287,0.5,4,0.014037599275233657,0.12966301435481828,0.03925103536507611,0.11381834046363123,False,5,False,
67,A3,6,0.39607492138392325,0.3392158688814513,1.0,6,0.4643289934637587,0.3075318390806971,0.4122909735567909,0.3973633262023345,True,6,False,
68,A3,6,0.32619646593438717,0.1578988352174914,1.0,6,0.49408716350442766,0.36613488094311564,0.3118900387900219,0.6292994658351492,True,6,False,
69,A3,9,0.5723137393634414,0.39095763429828556,0.6666666666666666,6,0.05844932793246817,0.2659730678203696,0.1923242746416145,0.25871761458833437,True,9,False,
70,A3,9,0.4431491134003159,0.34052035218180116,0.6666666666666666,6,0.2616666836165385,0.536682624767282,0.3422532967896229,0.6318446878182447,True,9,False,
71,A3,8,0.7572854450180249,0.5709755442533796,1.0,8,0.6610530174126541,0.3145427449819375,0.74758824164923,0.37521649246903244,False,7,False,
72,A3,9,0.02620182154312048,-0.0035017027496061057,0.5555555555555556,5,0.1246187262154373,0.3213032379208762,0.03576422849453162,0.09194904271042992,False,4,False,
73,A3,8,-0.014978318560403617,-0.03291409561063883,0.625,5,0.16516954414859333,0.23317905316604745,0.035832995410494985,0.3674293769389683,False,1,False,
74,A3,9,0.03010537442306141,0.01330667207242188,0.5555555555555556,5,-0.12975407689643362,0.311093506531965,0.05769494687706152,0.25412740206080153,False,0,False,
75,A3,9,0.06569129885016671,0.0636728292546765,0.7777777777777778,7,0.19433031418042926,0.3163712932731248,0.34127630609041926,0.34874996573886935,False,2,False,
76,A3,9,0.26835858015957553,0.2319374820652976,0.5555555555555556,5,-0.20451865645265146,0.36442931297431175,0.06583859615652629,0.41738838397038136,True,9,False,
77,A3,9,0.20939691025448887,0.1744403466922373,0.6666666666666666,6,0.043282602232507676,0.5003736568462134,0.18620340125402074,0.4687041497921702,False,6,False,
78,A3,9,0.07224996637193892,0.031903557830511985,0.6666666666666666,6,-0.2019789294765455,0.613643039593141,0.4797371061261379,0.6726720924772592,False,8,False,
79,A3,8,0.006389084981995665,-0.0032268114991857006,0.625,5,0.04844003420556713,0.11430998248498797,0.056191277344046095,0.119790337859995,False,1,False,
80,A3,9,0.2209031404391141,0.14533089313277686,0.5555555555555556,5,0.17378900276672155,0.3723869140194224,0.233746345545527,0.370770467358292,False,6,False,
81,A3,9,0.11929048586847193,0.050097118581646734,0.7777777777777778,7,0.2870122558178581,0.43258352936985983,0.23578514546738183,0.4830069114836979,False,7,False,
