channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable
39,A2,9,0.3313824358296438,0.11101435074934024,0.6666666666666666,6,-0.0009140374591067771,0.0016660167981901305,0.0014252205817759675,0.00203121184712865,False
40,A2,9,0.06751964564687397,-0.007368749794820058,0.6666666666666666,6,-0.0003461998318034695,0.001795320105485465,0.001327942420478318,0.0015886881277349186,False
41,A2,10,0.14718726627951426,0.08039147402813769,0.8,8,0.0023367129173391217,0.0034362437596504865,0.003391953660553253,0.004209377250864169,False
42,A2,9,-0.006867551734916417,-0.01525527072581192,0.5555555555555556,5,-0.0009981729193714133,0.002149289825104566,0.000443607060194312,0.0021239303042928787,False
43,A2,9,0.04691102821256761,-0.030760957798754957,0.6666666666666666,6,-3.516383553254472e-05,0.002173002897195714,0.001983091274737235,0.002685204888412638,False
44,A2,9,-0.013862124766930519,-0.039814461120117405,0.5555555555555556,5,-9.802972530115753e-05,0.001221466655762141,0.0007009321956887284,0.0012060916775139302,False
45,A2,9,0.03048229610258893,0.0439352711248809,0.7777777777777778,7,-0.0006865157838648181,0.0011584288088783879,0.000765285852750008,0.0012262382001929344,False
46,A2,9,0.012034228300865799,0.011696591949439618,0.5555555555555556,5,-0.00025282007562369205,0.002074354939343394,0.001930312895734796,0.0022973272161825745,False
47,A2,9,-0.0005179013647060721,0.018972004418000205,0.7777777777777778,7,-0.0017086431870515252,0.0017218095088114308,0.002787594910131212,0.002741491684205786,False
48,A2,9,0.011882680897561478,0.014355242116978547,0.6666666666666666,6,-0.00025891786721284987,0.0008668759275820874,0.0004475435030010003,0.0009050671970960012,False
49,A2,9,-0.22878874312634073,0.06616506378279724,0.5555555555555556,5,0.002441031219005319,0.00869364793266498,0.00736619734516304,0.010772617268675205,False
50,A2,9,0.010633598755727407,0.017056796332200953,0.6666666666666666,6,-0.001613062898793895,0.0037579880254176054,0.0010012118763387257,0.0018609585849097905,False
51,A2,9,-0.004220085660405775,0.0010274148935227464,0.7777777777777778,7,-0.0006468649686533445,0.0012028849473920708,0.0009135829203505229,0.0009014285248566706,False
52,A2,9,0.13291035076321683,0.09839761388288353,0.8888888888888888,8,-0.0017098141223526775,0.0013186074776329985,0.001781746741177584,0.0012940495942810836,False
53,A2,10,0.04082260033101348,0.010415939059576716,0.8,8,-0.0007327668854973379,0.0015798142585079049,0.0012679129076513854,0.0017425159240571182,False
54,A2,9,0.10120911640343488,0.05083363569472335,0.6666666666666666,6,-0.0035438554426979207,0.007339316586064058,0.006157233230683364,0.008364992694620845,False
55,A2,10,0.3578418875903711,0.22659718006492466,0.6,6,0.0004583403234392486,0.0019514109649199495,0.0013141812728933175,0.002202919957742767,False
56,A2,9,0.15007844876533438,0.023489464915390078,0.7777777777777778,7,-0.00091709511535991,0.0011241829302217734,0.0011468937714871172,0.0011875656271820379,False
57,A2,10,0.11591410125387856,0.08814335441930203,0.6,6,0.0004568839031039592,0.003272187825855153,0.0016754540166563545,0.0033213899862416614,False
58,A2,9,-0.024799410799400498,-0.029999000730984448,0.6666666666666666,6,0.0002555392141205769,0.0010003880931156873,0.0007818261574187995,0.0011693704678726333,False
59,A2,10,0.05117328493363368,0.05216421216617287,0.5,5,-0.0004283312819604493,0.001974419989771934,0.0016994332515880266,0.0021384294968987195,False
60,A2,9,-0.0020810091944007793,0.016040000229910506,0.5555555555555556,5,0.0006828032442552571,0.003147179878206835,0.0012931749384129862,0.001897721677508134,False
61,A2,9,0.020821403162160718,0.02677901468916187,0.6666666666666666,6,-0.0007194782923035769,0.0012097815380482785,0.0009322418021568343,0.001364567100582833,False
62,A2,10,-0.021910791213309258,-0.0028851897654256216,1.0,10,-0.0018731107540657936,0.00128857429861428,0.0017259399833644367,0.0015504752739824114,False
63,A2,9,0.06965799480115661,0.02332082760276695,1.0,9,-0.003204011030304971,0.0016326407170998258,0.0029391226252174604,0.0018917171987343762,False
64,A2,10,0.07111742390595903,0.0018245249720967658,0.9,9,-0.0011536177807029409,0.0011706612364341608,0.0009744608773026686,0.0011641154804964285,False
65,A3,10,0.06443054523133492,0.056932139092364005,0.5,5,-0.0022632297429425186,0.004600439671029662,0.0014219122783422624,0.003729435438530332,False
66,A3,10,0.0847647999885462,0.0985458078519482,1.0,10,-0.003744234032621689,0.0037150400509791633,0.0022155742692220454,0.0033204508701729077,False
