channel,array_name,n_sessions,median_pairwise_r,icc,sign_concordance,n_same_sign,si_mean,si_std,si_median_abs,si_pairwise_median_delta,stable,tuned_stable_rank
25,A1,5,0.04454646413681163,0.12690232330616874,0.8,4,0.2890594391451361,0.5656618365166639,0.5286092488448618,0.6363810327747735,False,
26,A1,10,0.038765397809367705,-0.006157809162257295,0.7,7,0.22969852384444986,0.45469362888381165,0.4007364585100849,0.47872967988684645,False,
27,A1,10,0.0735688448599803,0.06473001958288736,0.9,9,0.3479200105047263,0.36444502086162445,0.23435552403398863,0.3395376093107798,False,
28,A1,10,0.1173147612273898,0.07083847208496766,0.8,8,0.29477553362275666,0.3281483495707068,0.14321100126745834,0.4094366018436645,False,
29,A1,10,0.3808686314055749,0.23767237586776283,0.9,9,0.3616635080529461,0.3577068529073402,0.4151572544508245,0.37512038534589676,False,
30,A1,10,0.7347243497305582,0.4508297278668362,1.0,10,0.8744221748068522,0.24066196080809044,1.0,0.19602621876096127,True,1
31,A1,10,0.4177078326580658,0.3235211214093521,0.9,9,0.2922410929334064,0.2647778670229757,0.22895051435874614,0.18997147036421538,False,
32,A1,10,0.6526743412306112,0.4940491114720357,1.0,10,0.5472225285368503,0.1842046860440639,0.5264037108222315,0.16389880943202156,True,6
33,A2,7,-0.025738486179165736,-0.010915468058612572,0.8571428571428571,6,0.11973495058111584,0.10950899673467514,0.1727556737193438,0.12241789672643771,False,
34,A2,8,0.08495341445243997,0.022354532269655898,0.625,5,0.11235869661004655,0.3159341168251367,0.14987329049080012,0.2772884679619479,False,
36,A2,9,-0.050590963629233925,-0.01375851591787216,0.6666666666666666,6,-0.33951594015585174,0.476173847123199,0.5016753410573076,0.528537713808322,False,
37,A2,10,-0.0334278142692347,-0.005864841920943667,0.8,8,-0.30403383041381893,0.3477856912579436,0.224652032687287,0.34740283339276884,False,
38,A2,5,-0.006376850479322432,0.00464890627053549,0.6,3,-0.006725412550558382,0.5206287435319916,0.3847354396134107,0.4193406786325363,False,
39,A2,10,0.17876071466616,0.1244135684430123,0.8,8,-0.23419663090933618,0.6189907637842174,0.613174712590409,0.6590109727234543,False,
40,A2,10,0.08542921903509156,0.02454447592237207,0.7,7,0.23985669467415588,0.435210834241603,0.2051253888013884,0.4102507776027768,False,
41,A2,10,0.3911290371878486,0.2598982882529592,1.0,10,0.4470408930765373,0.25848377136174094,0.457684134438083,0.29413904774745725,False,
42,A2,10,0.016828878064706478,0.0033672421978725837,0.7,7,0.2677201507585608,0.5330695429247186,0.26152995599873896,0.7409316945492139,False,
43,A2,10,0.5363709063944322,0.3415328172527371,0.7,7,0.07541325577631716,0.4046887319052512,0.21071010732230425,0.29338880262049843,False,
44,A2,10,0.3098322836246738,0.061209549677506594,0.7,7,0.21724939473892974,0.735391934289909,0.8751581917443592,0.9260143006113458,False,
45,A2,8,0.22071970162186894,0.2045241433917573,1.0,8,0.26568530422715164,0.2909882022632865,0.18391212166128829,0.1537942896571807,False,
46,A2,10,0.04983049573975341,0.0330776302508703,0.9,9,-0.39720790745152684,0.48916577594910615,0.5406576583199595,0.5674611800435476,False,
47,A2,10,0.5811257946759691,0.4613749725407045,0.8,8,-0.5680716305132112,0.49158746430376193,0.7635717439944743,0.629991087847246,True,
